iter	Passed	Remaining
0	162	162108
1	163	81574
2	164	54620
3	164	41052
4	165	32925
5	165	27500
6	166	23619
7	166	20704
8	167	18437
9	167	16624
10	168	15139
11	168	13903
12	169	12857
13	169	11963
14	170	11186
15	170	10506
16	171	9906
17	171	9371
18	172	8894
19	172	8464
20	173	8075
21	173	7721
22	174	7398
23	174	7101
24	175	6829
25	175	6577
26	176	6344
27	176	6128
28	176	5926
29	177	5738
30	177	5562
31	178	5396
32	178	5241
33	179	5095
34	179	4957
35	180	4827
36	180	4704
37	181	4587
38	181	4476
39	182	4371
40	182	4271
41	183	4177
42	183	4086
43	184	3999
44	184	3916
45	185	3836
46	185	3760
47	185	3687
48	186	3618
49	186	3551
50	187	3488
51	187	3426
52	188	3366
53	188	3309
54	189	3253
55	189	3200
56	190	3148
57	190	3098
58	191	3050
59	191	3003
60	192	2958
61	192	2914
62	193	2872
63	193	2831
64	194	2791
65	194	2752
66	194	2715
67	195	2675
68	195	2640
69	196	2606
70	196	2572
71	197	2540
72	197	2508
73	198	2478
74	198	2448
75	198	2419
76	199	2390
77	199	2363
78	200	2336
79	200	2309
80	201	2284
81	201	2259
82	202	2234
83	202	2211
84	203	2186
85	203	2163
86	203	2139
87	204	2117
88	204	2096
89	205	2075
90	205	2055
91	206	2035
92	206	2015
93	207	1996
94	207	1977
95	208	1959
96	208	1941
97	209	1923
98	209	1906
99	209	1889
100	210	1872
101	210	1854
102	211	1838
103	211	1822
104	212	1807
105	212	1792
106	212	1777
107	213	1763
108	213	1748
109	214	1734
110	214	1720
111	215	1707
112	215	1693
113	216	1680
114	216	1667
115	217	1654
116	217	1641
117	218	1629
118	218	1616
119	218	1604
120	219	1593
121	219	1581
122	219	1568
123	220	1557
124	220	1546
125	221	1535
126	221	1524
127	222	1513
128	222	1502
129	223	1492
130	223	1482
131	223	1472
132	224	1463
133	224	1453
134	225	1444
135	225	1434
136	226	1425
137	226	1416
138	227	1407
139	227	1399
140	228	1390
141	228	1381
142	229	1373
143	229	1364
144	230	1356
145	230	1348
146	231	1340
147	231	1332
148	231	1324
149	232	1317
150	232	1309
151	233	1301
152	233	1294
153	234	1287
154	234	1279
155	235	1272
156	235	1265
157	236	1258
158	236	1251
159	237	1244
160	237	1237
161	237	1231
162	238	1224
163	238	1217
164	239	1211
165	239	1204
166	240	1198
167	240	1192
168	241	1186
169	241	1180
170	242	1174
171	242	1168
172	243	1162
173	243	1156
174	244	1150
175	244	1145
176	245	1139
177	245	1133
178	245	1128
179	246	1122
180	246	1116
181	247	1110
182	247	1105
183	248	1100
184	248	1094
185	248	1089
186	249	1084
187	249	1079
188	250	1074
189	250	1069
190	251	1064
191	251	1059
192	252	1054
193	252	1049
194	253	1044
195	253	1040
196	254	1035
197	254	1030
198	254	1026
199	255	1021
200	255	1017
201	256	1012
202	256	1008
203	257	1004
204	257	999
205	258	995
206	258	991
207	259	986
208	259	982
209	260	978
210	260	974
211	261	970
212	261	966
213	261	962
214	262	958
215	262	954
216	263	950
217	263	946
218	264	942
219	264	938
220	265	934
221	265	930
222	266	927
223	266	923
224	266	919
225	267	915
226	267	912
227	268	908
228	268	905
229	269	901
230	269	898
231	270	894
232	270	891
233	271	887
234	271	884
235	272	880
236	272	877
237	273	874
238	273	870
239	273	867
240	274	864
241	274	860
242	275	857
243	275	854
244	276	851
245	276	848
246	277	845
247	277	841
248	278	838
249	278	835
250	279	832
251	279	829
252	279	826
253	280	823
254	280	820
255	281	817
256	281	814
257	282	811
258	282	808
259	283	806
260	283	803
261	284	800
262	284	797
263	285	794
264	285	792
265	286	789
266	286	786
267	286	783
268	287	781
269	287	778
270	288	775
271	288	772
272	289	770
273	289	767
274	290	764
275	290	762
276	291	759
277	291	757
278	291	754
279	292	752
280	292	749
281	293	746
282	293	744
283	294	741
284	294	739
285	295	737
286	295	734
287	296	732
288	296	729
289	297	727
290	297	724
291	297	722
292	298	720
293	298	717
294	299	715
295	299	713
296	300	710
297	300	708
298	301	706
299	301	703
300	302	701
301	302	699
302	303	697
303	303	694
304	303	692
305	304	690
306	304	688
307	305	686
308	305	683
309	306	681
310	306	679
311	307	677
312	307	675
313	308	673
314	308	671
315	309	669
316	309	666
317	309	664
318	310	662
319	310	660
320	311	658
321	311	656
322	312	654
323	312	652
324	313	650
325	313	648
326	314	646
327	314	644
328	315	642
329	315	640
330	315	638
331	316	636
332	316	634
333	317	632
334	317	630
335	318	628
336	318	627
337	319	625
338	319	623
339	320	621
340	320	619
341	321	617
342	321	615
343	322	614
344	322	612
345	322	610
346	323	608
347	323	606
348	324	605
349	324	603
350	325	601
351	325	599
352	326	597
353	326	596
354	327	594
355	327	592
356	328	590
357	328	589
358	329	587
359	329	585
360	330	584
361	330	582
362	331	580
363	331	579
364	331	577
365	332	575
366	332	574
367	333	572
368	333	570
369	334	569
370	334	567
371	335	566
372	335	564
373	336	562
374	336	561
375	337	559
376	337	558
377	338	556
378	338	554
379	339	553
380	339	551
381	340	550
382	340	548
383	340	546
384	341	545
385	341	543
386	342	542
387	343	541
388	343	539
389	344	538
390	344	536
391	345	535
392	345	533
393	346	532
394	346	530
395	346	529
396	347	527
397	347	526
398	348	524
399	348	523
400	349	521
401	349	520
402	350	518
403	350	517
404	351	516
405	351	514
406	352	513
407	352	511
408	353	510
409	353	508
410	354	507
411	354	506
412	355	504
413	355	503
414	355	501
415	356	500
416	356	499
417	357	497
418	357	496
419	358	494
420	358	493
421	359	492
422	359	490
423	360	489
424	360	488
425	361	486
426	361	485
427	362	484
428	362	482
429	363	481
430	363	479
431	364	478
432	364	477
433	364	475
434	365	474
435	365	473
436	366	472
437	366	470
438	367	469
439	367	468
440	368	467
441	368	465
442	369	464
443	369	463
444	370	461
445	370	460
446	371	459
447	371	458
448	372	456
449	372	455
450	373	454
451	373	453
452	374	451
453	374	450
454	375	449
455	375	448
456	376	446
457	376	445
458	376	444
459	377	443
460	377	441
461	378	440
462	378	439
463	379	438
464	379	436
465	380	435
466	380	434
467	381	433
468	381	432
469	382	430
470	382	429
471	383	428
472	383	427
473	384	426
474	384	425
475	385	423
476	385	422
477	386	421
478	386	420
479	387	419
480	387	418
481	388	417
482	388	415
483	389	414
484	389	413
485	390	412
486	390	411
487	391	410
488	391	409
489	392	408
490	392	407
491	393	406
492	393	404
493	394	403
494	394	402
495	395	401
496	395	400
497	396	399
498	396	398
499	397	397
500	397	396
501	398	395
502	398	394
503	399	392
504	399	391
505	400	390
506	400	389
507	401	388
508	401	387
509	402	386
510	402	385
511	403	384
512	403	383
513	404	382
514	404	381
515	405	380
516	405	379
517	406	378
518	406	376
519	407	375
520	407	374
521	408	373
522	408	372
523	409	371
524	409	370
525	410	369
526	410	368
527	411	367
528	411	366
529	412	365
530	412	364
531	413	363
532	413	362
533	414	361
534	414	360
535	415	359
536	415	358
537	416	357
538	417	356
539	417	355
540	418	354
541	418	353
542	419	352
543	419	351
544	419	350
545	420	349
546	420	348
547	421	347
548	421	346
549	422	345
550	423	344
551	423	343
552	424	342
553	424	341
554	425	340
555	425	339
556	426	339
557	426	338
558	427	337
559	427	336
560	428	335
561	428	334
562	429	333
563	429	332
564	430	331
565	430	330
566	431	329
567	432	328
568	432	327
569	432	326
570	433	325
571	434	324
572	434	323
573	435	322
574	435	321
575	436	321
576	436	320
577	437	319
578	437	318
579	438	317
580	438	316
581	439	315
582	439	314
583	440	313
584	440	312
585	441	311
586	441	310
587	442	309
588	442	309
589	443	308
590	444	307
591	445	306
592	445	305
593	446	305
594	446	304
595	447	303
596	447	302
597	448	301
598	448	300
599	449	299
600	449	298
601	450	297
602	451	296
603	451	296
604	452	295
605	452	294
606	453	293
607	453	292
608	454	291
609	454	290
610	455	289
611	455	288
612	456	288
613	456	287
614	457	286
615	457	285
616	458	284
617	458	283
618	459	282
619	459	281
620	460	280
621	460	280
622	461	279
623	461	278
624	462	277
625	463	276
626	463	275
627	463	274
628	464	273
629	464	273
630	465	272
631	465	271
632	466	270
633	466	269
634	467	268
635	467	267
636	468	266
637	468	265
638	469	265
639	469	264
640	470	263
641	470	262
642	471	261
643	471	260
644	472	259
645	472	258
646	473	258
647	473	257
648	474	256
649	474	255
650	475	254
651	475	253
652	475	252
653	476	252
654	477	251
655	477	250
656	478	249
657	478	248
658	479	247
659	479	247
660	480	246
661	480	245
662	481	244
663	481	243
664	482	242
665	482	241
666	483	241
667	483	240
668	483	239
669	484	238
670	484	237
671	485	236
672	485	236
673	486	235
674	486	234
675	487	233
676	487	232
677	488	231
678	488	231
679	489	230
680	489	229
681	490	228
682	490	227
683	491	226
684	491	226
685	492	225
686	492	224
687	493	223
688	493	222
689	494	222
690	494	221
691	495	220
692	495	219
693	496	218
694	496	218
695	497	217
696	497	216
697	498	215
698	498	214
699	499	213
700	499	213
701	500	212
702	500	211
703	501	210
704	501	210
705	502	209
706	502	208
707	503	207
708	503	206
709	504	205
710	504	205
711	505	204
712	505	203
713	506	202
714	506	202
715	507	201
716	507	200
717	508	199
718	508	198
719	509	198
720	509	197
721	510	196
722	510	195
723	511	194
724	511	194
725	512	193
726	512	192
727	513	191
728	513	190
729	514	190
730	514	189
731	515	188
732	515	187
733	516	187
734	516	186
735	516	185
736	517	184
737	517	183
738	518	183
739	518	182
740	519	181
741	519	180
742	520	180
743	520	179
744	521	178
745	521	177
746	522	176
747	522	176
748	523	175
749	523	174
750	524	173
751	524	173
752	525	172
753	525	171
754	526	170
755	526	170
756	527	169
757	527	168
758	528	167
759	528	166
760	529	166
761	529	165
762	530	164
763	530	163
764	531	163
765	531	162
766	532	161
767	532	160
768	533	160
769	533	159
770	534	158
771	534	157
772	535	157
773	535	156
774	536	155
775	536	154
776	537	154
777	537	153
778	538	152
779	538	151
780	539	151
781	541	151
782	542	150
783	543	149
784	543	148
785	544	148
786	544	147
787	545	146
788	545	145
789	546	145
790	547	144
791	547	143
792	548	143
793	548	142
794	549	141
795	549	140
796	550	140
797	550	139
798	551	138
799	551	137
800	552	137
801	553	136
802	553	135
803	554	135
804	554	134
805	555	133
806	555	132
807	556	132
808	556	131
809	557	130
810	558	130
811	558	129
812	559	128
813	559	127
814	560	127
815	561	126
816	561	125
817	561	125
818	562	124
819	563	123
820	563	122
821	564	122
822	564	121
823	565	120
824	565	120
825	566	119
826	566	118
827	567	117
828	567	117
829	568	116
830	569	115
831	569	115
832	570	114
833	570	113
834	571	112
835	572	112
836	572	111
837	573	110
838	573	110
839	574	109
840	574	108
841	575	107
842	575	107
843	576	106
844	577	105
845	577	105
846	578	104
847	578	103
848	578	102
849	579	102
850	579	101
851	580	100
852	581	100
853	581	99
854	582	98
855	582	98
856	583	97
857	583	96
858	584	95
859	584	95
860	585	94
861	586	93
862	586	93
863	587	92
864	587	91
865	588	91
866	589	90
867	589	89
868	590	88
869	590	88
870	591	87
871	591	86
872	592	86
873	592	85
874	593	84
875	593	84
876	594	83
877	594	82
878	595	81
879	595	81
880	596	80
881	596	79
882	597	79
883	597	78
884	598	77
885	598	77
886	599	76
887	599	75
888	600	74
889	600	74
890	601	73
891	601	72
892	602	72
893	602	71
894	603	70
895	603	70
896	604	69
897	604	68
898	605	67
899	605	67
900	606	66
901	606	65
902	607	65
903	607	64
904	608	63
905	608	63
906	609	62
907	609	61
908	610	61
909	610	60
910	611	59
911	611	59
912	612	58
913	612	57
914	613	56
915	613	56
916	614	55
917	614	54
918	615	54
919	615	53
920	616	52
921	616	52
922	617	51
923	617	50
924	618	50
925	618	49
926	619	48
927	619	48
928	620	47
929	620	46
930	621	46
931	621	45
932	622	44
933	622	44
934	623	43
935	623	42
936	623	41
937	624	41
938	624	40
939	625	39
940	625	39
941	626	38
942	626	37
943	627	37
944	627	36
945	628	35
946	628	35
947	629	34
948	629	33
949	630	33
950	630	32
951	631	31
952	631	31
953	632	30
954	632	29
955	633	29
956	633	28
957	634	27
958	634	27
959	635	26
960	635	25
961	636	25
962	636	24
963	637	23
964	637	23
965	638	22
966	638	21
967	639	21
968	639	20
969	640	19
970	640	19
971	641	18
972	641	17
973	642	17
974	642	16
975	642	15
976	643	15
977	643	14
978	644	13
979	644	13
980	645	12
981	645	11
982	646	11
983	646	10
984	647	9
985	647	9
986	648	8
987	649	7
988	649	7
989	650	6
990	650	5
991	651	5
992	651	4
993	651	3
994	652	3
995	652	2
996	653	1
997	653	1
998	654	0
999	654	0
