iter	Passed	Remaining
0	0	726
1	1	653
2	1	629
3	2	616
4	3	608
5	3	596
6	4	588
7	4	582
8	5	579
9	5	575
10	6	570
11	6	565
12	7	560
13	7	555
14	8	553
15	8	549
16	9	547
17	9	544
18	10	543
19	11	542
20	11	544
21	12	549
22	12	546
23	13	553
24	14	552
25	14	549
26	15	546
27	15	543
28	16	540
29	16	538
30	17	536
31	17	534
32	18	532
33	18	530
34	19	528
35	19	526
36	20	525
37	20	523
38	21	521
39	21	520
40	22	518
41	22	517
42	23	516
43	23	516
44	24	518
45	24	517
46	25	515
47	25	515
48	26	513
49	26	512
50	27	511
51	27	510
52	28	509
53	28	507
54	29	506
55	29	505
56	30	504
57	30	503
58	31	502
59	31	501
60	32	500
61	33	499
62	33	498
63	34	497
64	34	496
65	35	495
66	35	494
67	36	493
68	36	493
69	37	492
70	37	491
71	38	490
72	38	489
73	39	489
74	39	488
75	40	488
76	40	487
77	41	487
78	41	486
79	42	486
80	42	486
81	43	485
82	43	482
83	44	481
84	44	481
85	45	480
86	45	480
87	46	479
88	46	478
89	47	477
90	47	476
91	48	476
92	48	476
93	49	476
94	49	475
95	50	474
96	50	474
97	51	473
98	51	473
99	52	472
100	52	471
101	53	470
102	54	470
103	54	470
104	55	469
105	55	469
106	56	468
107	56	467
108	57	467
109	57	466
110	58	465
111	58	465
112	59	464
113	59	463
114	60	463
115	60	462
116	61	461
117	61	460
118	62	459
119	62	459
120	63	458
121	63	457
122	64	456
123	64	455
124	65	455
125	65	454
126	65	453
127	66	453
128	67	452
129	67	451
130	68	451
131	68	450
132	69	450
133	69	451
134	70	451
135	71	451
136	71	450
137	71	449
138	72	448
139	72	448
140	73	447
141	73	445
142	74	444
143	74	444
144	75	443
145	75	442
146	76	441
147	76	440
148	77	440
149	77	439
150	78	438
151	78	438
152	79	437
153	79	436
154	79	436
155	80	435
156	80	434
157	81	433
158	81	433
159	82	432
160	82	430
161	83	430
162	83	429
163	84	428
164	84	429
165	85	428
166	85	427
167	86	427
168	86	426
169	87	425
170	87	425
171	88	424
172	88	423
173	89	422
174	89	422
175	90	421
176	90	420
177	90	420
178	91	419
179	91	418
180	92	418
181	92	417
182	93	416
183	93	416
184	94	415
185	94	414
186	95	414
187	95	413
188	96	412
189	96	412
190	97	411
191	97	411
192	98	410
193	98	410
194	99	409
195	99	408
196	100	408
197	100	407
198	101	407
199	101	406
200	102	406
201	102	406
202	103	405
203	103	404
204	104	404
205	104	403
206	105	402
207	105	402
208	106	401
209	106	401
210	107	400
211	107	399
212	108	399
213	108	398
214	109	398
215	109	397
216	109	396
217	110	396
218	110	395
219	111	394
220	111	394
221	112	393
222	112	393
223	113	392
224	113	391
225	114	391
226	114	391
227	115	390
228	115	390
229	116	389
230	116	388
231	117	388
232	117	387
233	118	387
234	118	386
235	119	385
236	119	385
237	120	384
238	120	383
239	121	383
240	121	382
241	121	382
242	122	381
243	122	380
244	123	380
245	123	379
246	124	379
247	124	378
248	125	377
249	125	377
250	126	376
251	126	376
252	127	375
253	127	375
254	128	374
255	128	373
256	129	373
257	129	372
258	130	372
259	130	372
260	131	372
261	131	371
262	132	371
263	132	370
264	133	369
265	133	369
266	134	368
267	134	368
268	135	367
269	135	367
270	136	366
271	136	365
272	137	365
273	137	364
274	138	364
275	138	363
276	139	364
277	140	364
278	140	363
279	141	363
280	141	362
281	142	362
282	142	361
283	143	361
284	143	360
285	144	359
286	144	359
287	145	360
288	146	359
289	146	359
290	147	358
291	147	358
292	148	357
293	148	357
294	149	356
295	149	355
296	150	355
297	150	354
298	151	354
299	151	353
300	152	353
301	152	352
302	153	352
303	153	351
304	154	351
305	154	350
306	155	350
307	155	349
308	156	349
309	156	348
310	157	348
311	157	347
312	158	347
313	158	346
314	159	346
315	159	345
316	160	345
317	160	344
318	161	344
319	161	343
320	162	343
321	162	342
322	163	342
323	163	341
324	164	341
325	164	340
326	165	340
327	165	339
328	166	339
329	166	338
330	167	338
331	167	337
332	168	337
333	168	336
334	169	336
335	169	335
336	170	335
337	170	334
338	171	334
339	171	333
340	172	333
341	172	332
342	173	331
343	173	331
344	174	330
345	174	330
346	175	329
347	175	329
348	176	328
349	176	328
350	177	327
351	177	327
352	178	326
353	178	326
354	179	325
355	179	324
356	180	324
357	180	323
358	181	323
359	181	322
360	182	322
361	182	321
362	183	321
363	183	320
364	184	320
365	184	319
366	185	319
367	185	318
368	186	318
369	186	317
370	187	317
371	187	316
372	188	316
373	188	315
374	189	315
375	189	314
376	190	314
377	190	313
378	191	313
379	191	312
380	192	312
381	192	311
382	193	310
383	193	310
384	194	309
385	194	309
386	195	309
387	195	308
388	196	308
389	196	307
390	197	306
391	197	306
392	198	305
393	198	305
394	199	304
395	199	304
396	200	303
397	200	303
398	201	302
399	201	302
400	202	301
401	202	301
402	203	300
403	203	300
404	204	299
405	204	299
406	204	298
407	205	298
408	205	297
409	206	297
410	206	296
411	207	296
412	207	295
413	208	295
414	208	294
415	209	294
416	209	293
417	210	292
418	210	292
419	211	291
420	211	291
421	212	290
422	212	290
423	213	289
424	213	289
425	214	288
426	214	288
427	215	287
428	215	287
429	216	286
430	216	286
431	217	285
432	217	285
433	218	284
434	218	284
435	219	283
436	219	283
437	220	282
438	220	281
439	221	281
440	221	280
441	222	280
442	222	279
443	223	279
444	223	278
445	224	278
446	224	277
447	225	277
448	225	276
449	226	276
450	226	275
451	227	275
452	227	274
453	228	274
454	228	273
455	229	273
456	229	272
457	230	272
458	230	271
459	231	271
460	231	270
461	232	270
462	232	269
463	233	269
464	233	268
465	234	268
466	234	267
467	234	267
468	235	266
469	236	266
470	236	265
471	237	265
472	237	264
473	238	264
474	238	263
475	239	263
476	239	262
477	240	262
478	240	261
479	241	261
480	241	260
481	242	260
482	242	259
483	243	259
484	243	258
485	244	258
486	244	257
487	245	257
488	245	256
489	246	256
490	246	255
491	247	255
492	247	254
493	248	254
494	248	253
495	249	253
496	249	252
497	250	252
498	250	251
499	251	251
500	251	250
501	252	250
502	252	249
503	253	249
504	253	248
505	254	248
506	254	247
507	255	247
508	255	246
509	256	246
510	256	245
511	257	245
512	257	244
513	258	244
514	258	243
515	259	243
516	259	242
517	260	242
518	260	241
519	261	241
520	261	240
521	262	240
522	262	239
523	263	238
524	263	238
525	264	237
526	264	237
527	265	237
528	265	236
529	266	236
530	266	235
531	267	235
532	267	234
533	268	233
534	268	233
535	269	232
536	269	232
537	270	231
538	270	231
539	271	230
540	271	230
541	272	229
542	272	229
543	273	228
544	273	228
545	274	227
546	274	227
547	274	226
548	275	226
549	275	225
550	276	225
551	276	224
552	277	224
553	277	223
554	278	223
555	278	222
556	279	222
557	279	221
558	280	221
559	280	220
560	281	220
561	281	219
562	282	219
563	282	218
564	283	218
565	283	217
566	284	217
567	284	216
568	285	216
569	285	215
570	286	215
571	286	214
572	287	214
573	288	213
574	288	213
575	288	212
576	289	212
577	289	211
578	290	211
579	290	210
580	291	210
581	291	209
582	292	209
583	292	208
584	293	208
585	293	207
586	294	207
587	294	206
588	295	206
589	295	205
590	296	205
591	296	204
592	297	204
593	297	203
594	298	203
595	298	202
596	299	202
597	299	201
598	300	201
599	300	200
600	301	200
601	301	199
602	302	199
603	302	198
604	303	198
605	303	197
606	304	197
607	304	196
608	305	196
609	305	195
610	306	195
611	306	194
612	307	194
613	307	193
614	308	193
615	308	192
616	309	192
617	309	191
618	310	191
619	311	190
620	311	190
621	312	189
622	312	189
623	313	188
624	313	188
625	314	187
626	314	187
627	315	186
628	315	186
629	316	185
630	316	185
631	317	184
632	317	184
633	318	183
634	318	183
635	319	182
636	319	182
637	320	181
638	320	181
639	321	180
640	321	180
641	322	179
642	322	179
643	323	178
644	323	178
645	324	177
646	324	177
647	325	176
648	325	176
649	326	175
650	326	175
651	327	174
652	328	174
653	328	173
654	329	173
655	329	172
656	329	172
657	330	171
658	330	171
659	331	170
660	331	170
661	332	169
662	332	169
663	333	168
664	333	168
665	334	167
666	334	167
667	335	166
668	335	166
669	336	165
670	336	165
671	337	164
672	337	164
673	338	163
674	338	163
675	339	162
676	339	162
677	340	161
678	340	161
679	341	160
680	341	160
681	342	159
682	342	159
683	343	158
684	343	158
685	344	157
686	344	157
687	345	156
688	345	156
689	346	155
690	346	155
691	347	154
692	347	154
693	348	153
694	348	153
695	349	152
696	349	152
697	350	151
698	350	151
699	351	150
700	351	150
701	352	149
702	352	149
703	353	148
704	353	148
705	354	147
706	354	147
707	355	146
708	355	146
709	356	145
710	356	145
711	357	144
712	357	144
713	358	143
714	358	143
715	359	142
716	359	142
717	360	141
718	360	141
719	361	140
720	362	140
721	362	139
722	362	139
723	363	138
724	363	138
725	364	137
726	364	137
727	365	136
728	365	136
729	366	135
730	367	135
731	367	134
732	368	134
733	368	133
734	368	133
735	369	132
736	369	132
737	370	131
738	370	131
739	371	130
740	371	130
741	372	129
742	372	128
743	373	128
744	373	128
745	374	127
746	374	126
747	375	126
748	375	125
749	376	125
750	376	124
751	377	124
752	378	123
753	378	123
754	379	123
755	379	122
756	380	122
757	380	121
758	381	121
759	381	120
760	382	120
761	382	119
762	383	119
763	383	118
764	384	118
765	384	117
766	385	117
767	385	116
768	386	116
769	386	115
770	387	115
771	387	114
772	388	114
773	388	113
774	389	113
775	389	112
776	390	112
777	390	111
778	391	111
779	391	110
780	392	110
781	392	109
782	393	109
783	393	108
784	394	108
785	394	107
786	395	107
787	395	106
788	396	106
789	396	105
790	397	105
791	397	104
792	398	104
793	398	103
794	399	102
795	399	102
796	400	101
797	400	101
798	401	101
799	402	100
800	402	100
801	403	99
802	403	99
803	404	98
804	404	98
805	405	97
806	405	97
807	406	96
808	406	96
809	407	95
810	407	95
811	408	94
812	408	94
813	409	93
814	409	93
815	410	92
816	410	92
817	411	91
818	411	91
819	412	90
820	412	89
821	413	89
822	413	88
823	414	88
